,,price,price,price,power,power,power,mileage,mileage,mileage,fuelConsumption,fuelConsumption,fuelConsumption,age,age,age
,,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max
BMW,340,54741.21822033898,26950,83980,348.375,325.0,409.0,32797.905982905984,7.0,164500.0,6.910579345088164,5.1,9.8,2.0677966101694913,0,9
BMW,418,24732.40811455847,13500,39900,142.86602870813397,136.0,184.0,92404.79713603819,1014.0,298580.0,4.7979827089337155,2.1,7.6,4.715990453460621,1,8
BMW,420,35681.4513916902,13990,80972,186.45254582484725,135.0,258.0,66837.78299595142,0.0,299000.0,5.096653144016215,1.0,8.1,3.800726099233562,0,9
BMW,425,27527.41176470588,17990,34354,222.35294117647058,218.0,224.0,99638.29411764706,28390.0,186000.0,4.878723404255319,4.4,6.1,5.745098039215686,4,8
BMW,428,25231.40163934426,16999,35890,245.03305785123968,245.0,249.0,103879.81147540984,24649.0,249000.0,6.661061946902659,6.3,7.2,7.557377049180328,6,9
BMW,430,40496.327981651375,13990,81950,255.49884526558893,186.0,310.0,63766.916188289324,0.0,347000.0,5.86734693877551,4.0,9.8,3.6674311926605503,0,9
BMW,435,31300.28014184397,18490,47980,311.4929078014184,306.0,409.0,110223.68085106384,17330.0,303256.0,6.467346938775516,5.4,8.5,6.531914893617022,2,9
BMW,440,56150.250521920665,23900,111394,345.0676532769556,306.0,439.0,37367.197064989516,0.0,163400.0,7.2765306122449065,4.3,10.0,2.711899791231733,0,9
BMW,518,27140.068965517243,9900,57900,146.22222222222223,136.0,218.0,100468.64827586207,10.0,307000.0,4.54954128440367,4.2,5.6,4.862068965517241,0,9
BMW,520,31355.730249324122,950,84369,185.62774390243902,136.0,277.0,101418.69001803969,0.0,2010000.0,5.017982300884973,1.4,99.9,5.327425653349354,0,22
BMW,523,9381.673469387755,1300,20900,189.03401360544217,150.0,218.0,187446.55782312926,20500.0,424011.0,8.505468749999995,7.3,10.3,14.414965986394558,9,22
BMW,525,16446.477211796246,850,41900,210.83064516129033,143.0,256.0,177051.38471849865,1.0,523750.0,6.313069908814586,4.1,10.5,10.485254691689008,2,22
BMW,528,18272.367346938776,3450,36950,244.70103092783506,193.0,271.0,147614.3469387755,32385.0,292000.0,7.191463414634151,6.1,10.5,10.071428571428571,5,22
BMW,530,38375.47580952381,1099,99842,256.30344557556776,109.0,306.0,97926.90087685856,1.0,718554.0,5.284635998213528,0.0,15.4,5.026666666666666,0,22
BMW,535,19755.452662721895,3499,37800,306.2818991097923,245.0,400.0,180620.00591715975,1.0,401231.0,6.800958466453682,5.4,11.9,9.680473372781066,5,22
BMW,540,47776.45591939546,2950,112340,330.683879093199,286.0,347.0,74020.41109709963,7.0,339000.0,6.726330150068215,4.9,54.0,3.81360201511335,0,22
BMW,545,65256.88461538462,3900,111229,353.8285714285714,286.0,396.0,67170.35897435897,4.0,378311.0,5.575609756097562,1.7,11.3,5.205128205128205,0,19
BMW,550,40862.52923976608,8999,115950,407.6950146627566,366.0,532.0,119254.16374269006,4300.0,286000.0,7.8173633440514525,4.0,11.8,6.526315789473684,1,17
BMW,620,47701.0,35999,76399,185.3235294117647,163.0,193.0,50110.205882352944,1.0,139500.0,4.883333333333334,4.7,5.3,2.7058823529411766,0,4
BMW,630,40208.63197026022,5950,111056,263.0676691729323,211.0,286.0,88906.6059479554,5.0,336000.0,6.539826839826838,4.9,10.1,6.029739776951673,0,18
BMW,635,18085.322580645163,9990,27900,288.73333333333335,286.0,364.0,177098.96774193548,63000.0,368000.0,7.000000000000002,6.9,7.2,13.612903225806452,12,15
BMW,640,34688.89532293987,17990,89749,317.7986577181208,311.0,362.0,112992.86636971046,6095.0,326672.0,6.265087281795505,5.0,8.3,7.0846325167037865,1,11
BMW,645,16280.037037037036,7900,35000,334.037037037037,333.0,381.0,157799.7037037037,17589.0,290429.0,11.263265306122449,7.6,12.8,17.74074074074074,17,19
BMW,650,29522.190839694656,11900,64990,413.3692307692308,367.0,449.0,118664.39694656488,14245.0,270466.0,10.164705882352942,8.2,12.9,10.67175572519084,4,17
BMW,725,45266.666666666664,40950,53900,230.66666666666666,230.0,231.0,80884.66666666667,35000.0,103827.0,4.6000000000000005,4.4,5.0,4.0,4,4
BMW,728,11707.25,6999,14990,193.0,193.0,193.0,215621.75,159000.0,271000.0,11.125,10.0,11.5,21.75,21,22
BMW,730,47726.816666666666,2999,108990,261.6221294363257,193.0,300.0,106381.72442588727,1.0,480000.0,5.756279069767426,1.2,10.7,5.891666666666667,0,21
BMW,735,8656.763157894737,2599,29999,263.6216216216216,235.0,272.0,211363.92105263157,29000.0,401663.0,11.157142857142853,10.0,12.1,19.973684210526315,17,22
BMW,740,52007.298050139274,3999,179249,316.2268907563025,245.0,340.0,99635.68245125348,1.0,466200.0,6.033333333333339,2.0,13.5,5.6016713091922,0,22
BMW,745,81162.9406392694,2450,142110,363.9179487179487,286.0,398.0,51613.17351598173,6.0,999999.0,3.471428571428577,1.8,15.1,3.5251141552511416,0,21
BMW,750,50469.76975945017,4250,221714,432.8103448275862,326.0,532.0,104902.2027491409,1.0,366128.0,8.888593155893533,5.7,14.1,6.883161512027492,0,22
BMW,760,59469.89552238806,5850,213010,534.5522388059702,445.0,612.0,106861.23880597015,50.0,415000.0,12.907407407407405,9.6,13.6,9.955223880597014,0,19
BMW,840,88499.32944606413,61850,155304,328.99416909620993,320.0,345.0,30594.858858858857,1.0,154850.0,6.487588652482278,2.8,9.9,1.8104956268221575,0,4
BMW,850,93582.37037037036,74500,114990,523.9230769230769,332.0,538.0,25899.62962962963,2150.0,77000.0,9.646153846153847,7.2,10.5,2.5925925925925926,1,4
BMW,Active Hybrid 3,27280.863636363636,7800,44900,197.0909090909091,136.0,340.0,82682.77272727272,10.0,227000.0,6.32,5.9,6.9,6.090909090909091,1,16
BMW,Active Hybrid 5,25761.78125,15850,57500,217.625,136.0,462.0,93191.875,23000.0,234000.0,5.090909090909089,1.9,8.4,5.375,3,10
BMW,Active Hybrid 7,20802.940298507463,13990,41900,185.59701492537314,140.0,465.0,69192.26865671642,57.0,200000.0,5.338636363636361,4.1,9.4,5.223880597014926,0,12
BMW,Active Hybrid X6,18066.722222222223,12970,41000,140.88888888888889,116.0,408.0,97509.91666666667,23168.0,160000.0,4.296969696969696,3.8,9.9,5.277777777777778,2,12
BMW,M1,43219.16483516483,20900,78468,317.3626373626374,306.0,400.0,27557.648351648353,10.0,113000.0,7.0257575757575825,6.0,8.0,2.21978021978022,0,11
BMW,M2,55431.625,24990,104990,386.98936170212767,26.0,500.0,35803.32838983051,1.0,173000.0,8.581377551020381,0.0,10.2,3.2203389830508473,0,9
BMW,M3,71593.53992395438,19500,246500,443.53053435114504,305.0,782.0,61470.73333333333,1.0,285000.0,10.341206030150762,5.3,13.6,7.02851711026616,0,22
BMW,M4,78619.99602649007,37990,225900,460.6472184531886,330.0,733.0,39975.70744680851,1.0,189543.0,9.06631762652703,2.0,12.2,3.585430463576159,0,8
BMW,M5,76736.74630021142,18600,249500,554.1447084233262,381.0,876.0,67640.72515856237,1.0,233779.0,10.436386768447862,6.2,16.6,5.20507399577167,0,22
BMW,M6,53361.55639097744,16980,169990,549.9848484848485,507.0,723.0,81227.08270676692,12500.0,209000.0,11.44561403508772,8.0,15.2,9.413533834586467,1,17
BMW,M8,141209.03968253967,77995,263773,613.3174603174604,530.0,721.0,17578.301587301587,0.0,84280.0,10.86019417475729,8.0,11.6,1.507936507936508,0,4
BMW,M850,97730.02702702703,70449,218821,530.081081081081,529.0,532.0,27404.405405405407,1.0,109750.0,9.970503597122303,9.7,14.1,2.27027027027027,0,4
BMW,Others,34931.062827225134,1490,227900,181.0684676292501,68.0,510.0,51267.06645056726,1.0,999999.0,5.2884092725819185,1.3,14.8,3.394683850181232,0,22
BMW,X1,24449.325946920897,6400,59592,154.50821382007823,110.0,306.0,85915.68260532437,0.0,440000.0,5.2639676113359775,0.6,13.8,5.277763463024994,0,13
BMW,X2,33367.639247943596,19380,66454,153.7748502994012,103.0,306.0,35757.90189125296,0.0,246000.0,5.10501519756839,1.0,13.7,2.145710928319624,0,5
BMW,X2 M,38738.93548387097,23990,82732,207.6021505376344,116.0,306.0,38531.3870967742,1.0,135000.0,5.4183908045977045,4.1,7.5,2.5161290322580645,0,5
BMW,X3,32290.28275862069,2750,125900,200.30897816122945,110.0,510.0,97593.05030609529,0.0,430000.0,5.994382022471856,0.8,16.3,6.097612732095491,0,19
BMW,X3 M,61993.01879699248,8999,172896,373.69943289224955,150.0,635.0,42729.45864661654,1.0,184000.0,8.134800838574435,2.1,11.5,2.5150375939849625,0,15
BMW,X4,45315.118229470005,19000,91086,222.15954922894426,140.0,480.0,69504.90823529412,0.0,395025.0,5.858628318584095,4.0,10.5,3.8375072801397785,0,8
BMW,X4 M,61075.58855585831,24999,170944,369.7384196185286,163.0,518.0,49133.639344262294,5.0,246100.0,7.969254658385104,4.1,11.2,2.7111716621253406,0,7
BMW,X5,50908.564918851436,2555,144745,281.50081195193246,182.0,625.0,100837.06873822976,0.0,451437.0,6.477413273001566,1.0,23.5,5.6598002496878905,0,22
BMW,X5 M,75494.85145888594,18500,263013,427.7486631016043,190.0,625.0,80207.90716180371,1.0,304500.0,8.191176470588243,2.0,14.3,4.0344827586206895,0,13
BMW,X6,57033.221507352944,7899,156102,298.5078776645042,1.0,625.0,92493.70914127424,1.0,533299.0,7.278867102396497,1.0,13.9,5.267463235294118,0,14
BMW,X6 M,63330.38053097345,11990,252771,439.875,116.0,751.0,88417.70353982301,10.0,272000.0,9.362135922330086,4.0,14.3,5.6946902654867255,0,14
BMW,X7,110405.41393442624,69900,165959,340.77272727272725,211.0,530.0,23943.016736401674,1.0,157168.0,7.6593607305935985,6.0,11.2,1.2745901639344261,0,3
BMW,X7 M,134809.63043478262,85000,215340,478.4,400.0,532.0,27316.760869565216,1.0,107150.0,9.67692307692308,7.0,12.6,1.5,0,3
BMW,Z3,13620.14364640884,4999,31980,151.4585635359116,114.0,232.0,133196.97790055248,26145.0,293000.0,8.692763157894754,7.8,10.4,21.11049723756906,18,22
BMW,Z3 M,43965.375,19450,83800,271.2083333333333,150.0,325.0,73125.375,9251.0,235000.0,9.77142857142857,4.5,11.9,15.25,1,22
BMW,Z4,36117.95881595882,6749,79900,224.78266494178524,150.0,351.0,71736.9515503876,1.0,340252.0,7.496976568405214,2.1,9.8,8.012870012870012,0,20
BMW,Z4 M,59392.28082191781,14200,99900,329.45454545454544,102.0,362.0,33290.441379310345,1.0,192500.0,8.345736434108538,5.5,12.1,4.390410958904109,0,16
BMW,Z8,255397.2857142857,169990,398000,399.65714285714284,381.0,407.0,48886.57142857143,546.0,151093.0,14.664000000000001,14.5,14.9,20.685714285714287,17,22
BMW,i3,30989.797649034426,7990,51500,159.92006950477847,1.0,197.0,26763.10756302521,0.0,211556.0,2.887500000000001,0.2,6.0,2.8035264483627205,0,14
BMW,i4,74473.94382022473,54400,104850,370.59493670886076,143.0,552.0,3991.8333333333335,0.0,20000.0,,,,0.1348314606741573,0,1
BMW,i8,86501.99248120301,55500,159000,323.6046511627907,231.0,374.0,45801.63909774436,1.0,194500.0,2.044545454545453,1.8,2.5,4.669172932330827,1,8
BMW,iX,98773.54166666667,6999,130110,314.713768115942,105.0,540.0,4256.175675675676,0.0,108648.0,,,,0.4869791666666667,0,16
BMW,iX3,70226.0085106383,55000,83000,281.60752688172045,109.0,290.0,6720.727659574468,0.0,32201.0,0.0,0.0,0.0,0.6808510638297872,0,2
Bentley,Arnage,52910.244897959186,19850,129899,425.3061224489796,56.0,507.0,80984.55102040817,16100.0,213600.0,19.82432432432433,17.8,20.6,18.959183673469386,12,22
